_uid_,codigo,denominacion,alcance
"1",B-20,Cuenta cuentos Anancy,Provincial
"2",B-20,Cuenta cuentos Anancy,Internacional
"3",B-20,Cuenta cuentos Anancy,Regional
"4",B-06,Carnavales de Limón,Internacional
"5",B-06,Carnavales de Limón,Local
"6",,Festival de la Cultura Negra “Back to Our Roots”,Internacional
"7",,Festival de la Cultura Negra “Back to Our Roots”,Local
"8",D-05,Prensa Limonense,No aplica
"9",A-38,Inglés criollo limonense,Provincial
"10",B-14,Pocomía,Provincial
"11",D-01,Libros Historia,No aplica
"12",C-01,Pintura Limonense,Internacional
"13",C-01,Pintura Limonense,Nacional
"14",C-02,Fotografía,Internacional
"15",C-02,Fotografía,Nacional
"16",C-03,Artesanía,Provincial
"17",C-03,Artesanía,Local
"18",B-22,Poetas limonenses,No aplica
"19",B-15,Setup,Local
"20",B-18,Buggy-buggy ,Internacional
"21",B-18,Buggy-buggy ,Provincial
"22",D-07,Monografías,No aplica
"23",D-08,Biblioteca,No aplica
"24",E-02,Radio y televisión,No aplica
"25",E-01,Filmes y videos,No aplica
"26",A-39,Gastronomía ,Regional
"27",B-03,Calypso,Provincial
"28",G-02,Servicios Turísticos ,No aplica
"29",B-16,Palo de Mayo,Local
"30",B-19,Teatro negro ,Local
"31",B-21,Baile de la cuadrilla,Provincial
"32",B-17,Danza del dragón,Internacional
"33",B-01,Marchas Fúnebres,Provincial
"34",B-10,Año Nuevo Limón,Sin referencia
"35",B-07,Día de las Culturas,Sin referencia
"36",D-02,Libros de arquitectura,No aplica
"37",D-02,Libros de arquitectura,Provincial
"38",D-03,Libros de cultura,No aplica
"39",F-01,Moda,Nacional
"40",F-01,Moda,Provincial
"41",F-01,Moda,Local
"42",D-06,Revistas ,No aplica
"43",B-04,Parade de Gala,Local
"44",B-05,Día Persona Negra,Local
"45",B-08,Calypso Moonlight,Nacional
"46",B-08,Calypso Moonlight,Regional
"47",B-08,Calypso Moonlight,Provincial
"48",B-08,Calypso Moonlight,Local
"49",B-09,Día del Cantonato de Limón,Local
"50",B-11,Feria del Mar Caribe,Local
"51",B-12,Feria del Agricultor,Nacional
"52",B-12,Feria del Agricultor,Local
"53",B-13,N-Raiz-arte,Internacional
"54",B-13,N-Raiz-arte,Local
"55",G-01,Viajes contratados y servicios turísticos,No aplica
